Agency,State,Months,Population,Violent_crime_total,Murder_and_Manslaughter,Forcible_rape,Robbery,Aggravated_assault,Property_crime_total,Burglary,Larceny_theft,Motor_vehicle_theft,lat,long
Irving Police Dept,TX,12,224007,507,3,27,135,342,6307,1277,4466,564,32.814,96.9489
Jackson Police Dept,MS,12,175939,1668,63,135,799,671,11568,4124,6308,1136,32.2988,90.1848
Joliet,IL,12,148471,506,11,30,104,361,3835,954,2723,158,41.525,88.0817
Kansas City Police Dept,KS,12,147201,877,15,85,277,500,7538,1772,4558,1208,39.0997,94.5786
Kent Police Dept,WA,12,122102,543,2,68,194,279,5468,1239,3365,864,47.3809,122.2348
Killeen Police Dept,TX,12,131965,851,12,82,236,521,4986,1498,3296,192,31.1171,97.7278
Knoxville Police Dept,TN,12,182254,1774,18,119,528,1109,12169,2882,8373,914,35.9606,83.9207
Lafayette Police Dept,LA,12,122852,779,11,11,202,555,6815,1330,5244,241,30.2241,92.0198
Lakewood,CO,12,146404,676,2,94,148,432,6705,917,5180,608,39.7047,105.0814
Lancaster,CA,12,159155,859,8,54,313,484,3498,1043,2051,404,40.0379,76.3055
Lansing City Police Dept,MI,12,114688,1078,13,92,203,770,3774,1307,2203,264,42.7325,84.5555
Laredo,TX,12,245558,1036,8,81,183,764,10685,1718,8586,381,27.5306,99.4803
Lewisville Police Dept,TX,12,100216,168,2,21,48,97,2591,492,1880,219,33.0462,96.9942
Little Rock Police Dept,AR,12,196055,2579,45,137,807,1590,15804,4244,10465,1095,34.7465,92.2896
Lowell Police Dept,MA,12,108539,585,0,37,174,374,3125,849,1981,295,42.6334,71.3162
Lubbock Police Dept,TX,12,237241,1962,11,104,325,1522,12273,3099,8429,745,33.5779,101.8552
Madison City Police Dept,WI,12,237508,897,3,114,241,539,7753,1601,5898,254,43.0731,89.4012
Manchester Police Dept,NH,12,110040,624,1,72,205,346,3848,849,2848,151,42.9956,71.4548
Mcallen Police Dept,TX,12,135745,166,1,3,56,106,5465,503,4751,211,26.2034,98.23
Mckinney Police Dept,TX,12,138105,229,0,54,58,117,2786,492,2190,104,33.1972,96.6398
